Lot_ID,Mine,Lot_station,Station_ID,Station_site,Station_waypoint,Station_latitude,Station_longitude,Station_waterbody,Site_province,Site_region,Site_locality,Site_narrative_loc,Site_name,Site_category,Site_waterbody,Site_comments,Metal,Resource,Number of Families,Families,Number of Beings,Beings
WEMIC24-B3-UNSORT,Wesdome Gold Mines Ltd.,WEMIC24-B3,WEMIC24-B3,WE-MIC,WE-MIC-B3,48.11369,-85.40322,Miron Creek,Ontario,Algoma,"Wesdome, Miron Creek",Miron Creek,Miron Creek,Exposure,"Wesdome, Miron Creek Exposure Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://stockhouse.com/news/press-releases/2023/03/13/wesdome-announces-annual-mineral-resource-and-reserve-updates-for-eagle-river,0,N/A,0,N/A
WEMIC24-B4-UNSORT,Wesdome Gold Mines Ltd.,WEMIC24-B4,WEMIC24-B4,WE-MIC,WE-MIC-B4,48.11366,-85.40267,Miron Creek,Ontario,Algoma,"Wesdome, Miron Creek",Miron Creek,Miron Creek,Exposure,"Wesdome, Miron Creek Exposure Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://stockhouse.com/news/press-releases/2023/03/13/wesdome-announces-annual-mineral-resource-and-reserve-updates-for-eagle-river,0,N/A,0,N/A
WEMIC24-B5-UNSORT,Wesdome Gold Mines Ltd.,WEMIC24-B5,WEMIC24-B5,WE-MIC,WE-MIC-B5,48.1138,-85.40218,Miron Creek,Ontario,Algoma,"Wesdome, Miron Creek",Miron Creek,Miron Creek,Exposure,"Wesdome, Miron Creek Exposure Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://stockhouse.com/news/press-releases/2023/03/13/wesdome-announces-annual-mineral-resource-and-reserve-updates-for-eagle-river,0,N/A,0,N/A
WRFC24-B1-UNSORT,Wesdome Gold Mines Ltd.,WRFC24-B1,WRFC24-B1,WR-FC,WR-FC-B1,48.18745,-85.36425,Farwell Creek,Ontario,Thunder Bay,"Wesdome, Farwell Creek",Farwell Creek,Farwell Creek,Reference,"Wesdome, Farwell Creek Reference Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI42C03SW00010,0,N/A,0,N/A
WRFC24-B2-UNSORT,Wesdome Gold Mines Ltd.,WRFC24-B2,WRFC24-B2,WR-FC,WR-FC-B2,48.18751,-85.36467,Farwell Creek,Ontario,Thunder Bay,"Wesdome, Farwell Creek",Farwell Creek,Farwell Creek,Reference,"Wesdome, Farwell Creek Reference Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI42C03SW00010,0,N/A,0,N/A
WRFC24-B3-UNSORT,Wesdome Gold Mines Ltd.,WRFC24-B3,WRFC24-B3,WR-FC,WR-FC-B3,48.18768,-85.36075,Farwell Creek,Ontario,Thunder Bay,"Wesdome, Farwell Creek",Farwell Creek,Farwell Creek,Reference,"Wesdome, Farwell Creek Reference Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI42C03SW00010,0,N/A,0,N/A
WRFC24-B4-UNSORT,Wesdome Gold Mines Ltd.,WRFC24-B4,WRFC24-B4,WR-FC,WR-FC-B4,48.18759,-85.36505,Farwell Creek,Ontario,Thunder Bay,"Wesdome, Farwell Creek",Farwell Creek,Farwell Creek,Reference,"Wesdome, Farwell Creek Reference Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI42C03SW00010,0,N/A,0,N/A
WRFC24-B5-UNSORT,Wesdome Gold Mines Ltd.,WRFC24-B5,WRFC24-B5,WR-FC,WR-FC-B5,48.18757,-85.36538,Farwell Creek,Ontario,Thunder Bay,"Wesdome, Farwell Creek",Farwell Creek,Farwell Creek,Reference,"Wesdome, Farwell Creek Reference Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold ,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI42C03SW00010,0,N/A,0,N/A
SLMB24-L1-SED-R1,HBMS Flin Flon Metallurgical Complex,SLMB24-L1-SED-R1,SLMB24-L1-SED-R1,SLMB,SLMB24-L1-SED-R1,54.66196665,-101.8167872,Schist Lake Main Basin,Manitoba,Northern Manitoba,"Schist Lake, Main Basin","Schist Lake, Main Basin",Schist Lake,Biomonitoring,"Schist Lake, Main Basin",,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,5,"['Sialidae', 'Naididae', 'Chironomidae',' Chaoboridae']",2,"['Limnodrilus claparedianus', 'Chaoborus flavicans']"
SLMB24-L1-SED-R2,HBMS Flin Flon Metallurgical Complex,SLMB24-L1-SED-R2,SLMB24-L1-SED-R2,SLMB,SLMB24-L1-SED-R2,54.66168436,-101.817326,Schist Lake Main Basin,Manitoba,Northern Manitoba,"Schist Lake, Main Basin","Schist Lake, Main Basin",Schist Lake,Biomonitoring,"Schist Lake, Main Basin",,"Zinc, Copper, Iron",https://www.manitoba.ca/iem/geo/field/roa08pdfs/GS-2.pdf,5,"['Sialidae', 'Naididae', 'Chironomidae',' Chaoboridae']",2,"['Limnodrilus claparedianus', 'Chaoborus flavicans']"
